CPUTimeRAW|NCPUS|ReqGRES|
5640|4|gpu:v100:0|
5636|4|gpu:v100:0|
32|4|gpu:v100:0|
44|4|gpu:v100:0|
44|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
32|4|gpu:v100:0|
6564|4|gpu:v100:0|
7388|4|gpu:v100:0|
6008|4|gpu:v100:0|
72|4|gpu:v100:0|
88|4|gpu:v100:0|
88|4|gpu:v100:0|
165848|4|gpu:v100:0|
162976|4|gpu:v100:0|
148304|4|gpu:v100:0|
12|4|gpu:v100:0|
20|4|gpu:v100:0|
20|4|gpu:v100:0|
12|4|gpu:v100:0|
12|4|gpu:v100:0|
12|4|gpu:v100:0|
12|4|gpu:v100:0|
12|4|gpu:v100:0|
12|4|gpu:v100:0|
217716|4|gpu:v100:0|
162612|4|gpu:v100:0|
147520|4|gpu:v100:0|
236|4|gpu:v100:0|
720|4|gpu:v100:0|
672|4|gpu:v100:0|
436|4|gpu:v100:0|
944|4|gpu:v100:0|
552|4|gpu:v100:0|
432|4|gpu:v100:0|
656|4|gpu:v100:0|
588|4|gpu:v100:0|
420|4|gpu:v100:0|
780|4|gpu:v100:0|
640|4|gpu:v100:0|
368|4|gpu:v100:0|
868|4|gpu:v100:0|
716|4|gpu:v100:0|
432|4|gpu:v100:0|
852|4|gpu:v100:0|
12192|4|gpu:v100:0|
11900|4|gpu:v100:0|
368|4|gpu:v100:0|
244900|4|gpu:v100:0|
243280|4|gpu:v100:0|
247800|4|gpu:v100:0|
247236|4|gpu:v100:0|
246836|4|gpu:v100:0|
19780|4|gpu:v100:0|
424|4|gpu:v100:0|
253184|4|gpu:v100:0|
251128|4|gpu:v100:0|
337712|4|gpu:v100:0|
892|4|gpu:v100:0|
333304|4|gpu:v100:0|
335984|4|gpu:v100:0|
338112|4|gpu:v100:0|
872|4|gpu:v100:0|
313140|4|gpu:v100:0|
296684|4|gpu:v100:0|
344680|4|gpu:v100:0|
367300|4|gpu:v100:0|
369060|4|gpu:v100:0|
0|1||
24316|4|gpu:v100:0|
924|4|gpu:v100:0|
988|4|gpu:v100:0|
23020|4|gpu:v100:0|
302376|4|gpu:v100:0|
341296|4|gpu:v100:0|
393056|4|gpu:v100:0|
2456|4||
2444|4||
2504|4||
5120|4||
417800|4|gpu:v100:0|
309388|4|gpu:v100:0|
437980|4|gpu:v100:0|
152|4||
0|1||
4|1||
9176|4||
104|4||
28|4||
14460|4||
43276|4||
1300|4||
80|4||
10904|4||
14448|4||
1532|4||
3148|4||
18772|4||
107736|4||
180|4||
104|4||
